id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup,IMDb Score Bins
ts288489,Pretty Guardians Sailor Moon Eternal The Movie,SHOW,2021,TV-14,81,['action'],['JP'],1,tt10635042,0,0,19.654,2020,0
ts317078,The Journalist,SHOW,2022,TV-14,51,"['drama', 'thriller']",['JP'],1,tt15101670,7,542,10.647,2020,6
ts313668,Tear Along the Dotted Line,SHOW,2021,TV-14,19,"['drama', 'comedy', 'animation']",['IT'],1,tt15614372,8.7,7595,51.108,2020,8
ts301914,Inspector Koo,SHOW,2021,TV-14,69,"['action', 'comedy', 'thriller']",['KR'],1,tt14731794,6.9,534,12.57,2020,6
ts308511,Back to 15,SHOW,2022,TV-14,39,"['comedy', 'drama']",['BR'],1,tt15301854,6.6,574,7.725,2020,6
ts319412,Forecasting Love and Weather,SHOW,2022,TV-14,66,"['drama', 'romance']",['KR'],1,tt15140592,7.2,1016,23.8,2020,6
ts258415,Elves,SHOW,2021,TV-14,24,"['fantasy', 'horror', 'thriller', 'family', 'drama', 'scifi']",['DK'],1,tt13231962,5.5,4075,112.622,2020,4
ts241296,Finding Ola,SHOW,2022,TV-14,53,"['comedy', 'drama']",[],1,tt12432642,7.6,1431,0,2020,6
ts282291,Generation 56K,SHOW,2021,TV-14,30,"['comedy', 'drama', 'romance']",['IT'],1,tt13524842,7.4,2317,1.4,2020,6
ts90023,AlRawabi School for Girls,SHOW,2021,TV-14,48,['drama'],['JO'],1,tt10183912,7.4,5708,76.499,2020,6
ts312200,I Am Georgina,SHOW,2022,TV-14,41,['reality'],['ES'],1,tt15494864,3.9,2729,142.386,2020,2
ts320872,Queer Eye Germany,SHOW,2022,TV-14,50,['reality'],['DE'],1,tt16369694,7.5,788,2.49,2020,6
ts312094,JAPAN SINKS: People of Hope,SHOW,2021,TV-14,54,"['scifi', 'war', 'drama']",['JP'],1,tt15569106,6.7,404,7.92,2020,6
ts329711,"Love, Life & Everything in Between",SHOW,2022,TV-14,27,"['drama', 'comedy', 'romance']",['SA'],1,tt18253682,5.3,65,20.664,2020,4
ts305890,Too Hot to Handle: Latino,SHOW,2021,TV-14,36,"['reality', 'romance']",['MX'],1,tt15251764,5.2,260,4.966,2020,4
ts287703,Mine,SHOW,2021,TV-14,69,['drama'],['KR'],1,tt14023192,7.8,1101,9.07,2020,6
ts311958,The Hungry and the Hairy,SHOW,2021,TV-14,63,['reality'],['KR'],1,tt16088530,7.5,218,6.006,2020,6
ts287941,Racket Boys,SHOW,2021,TV-14,70,"['comedy', 'family', 'drama', 'sport']",['KR'],1,tt14482414,1.8,27484,3.427,2020,0
ts283614,Haunted: Latin America,SHOW,2021,TV-14,33,"['reality', 'horror']","['FR', 'IT']",1,tt14164238,5.3,572,38.749,2020,4
ts282876,"Nevenka, Breaking The Silence",SHOW,2021,TV-14,38,"['documentation', 'crime']",['ES'],1,tt14091172,6.9,658,1.785,2020,6
ts331449,Hei$t: The Great Robbery of Brazil's Central Bank,SHOW,2022,TV-14,61,"['documentation', 'crime']",['BR'],1,tt18274172,6.3,193,6.837,2020,6
ts285106,Under Suspicion: Uncovering the Wesphael Case,SHOW,2021,TV-14,36,"['crime', 'documentation']",[],1,tt14078186,6.3,727,1.4,2020,6
ts282214,Let's Fight Ghost,SHOW,2021,TV-14,65,"['drama', 'action', 'fantasy', 'horror', 'romance']",['TH'],1,tt14168868,7.5,98,3.009,2020,6
ts314962,Stories of a Generation - with Pope Francis,SHOW,2021,TV-14,46,['documentation'],['IT'],1,tt13784364,7.4,202,5.978,2020,6
ts288861,Let's Eat,SHOW,2021,TV-14,60,"['drama', 'comedy']",['TH'],1,tt15978704,8.2,5,1.07,2020,8
ts285422,Newton's Cradle,SHOW,2021,TV-14,41,"['drama', 'thriller']",['EG'],1,tt11703922,8,1565,1.4,2020,8
ts297685,I Need Romance,SHOW,2021,TV-14,45,"['drama', 'romance']",['TH'],1,tt16077338,7.8,24,1.083,2020,6
ts284885,Abla Fahita: Drama Queen,SHOW,2021,TV-14,25,"['drama', 'comedy', 'crime']",['XX'],1,tt11570224,6.6,433,1.4,2020,6
ts30083,Angel Beats!,SHOW,2010,TV-14,26,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']",['JP'],1,tt1639109,7.7,13848,19.033,2010,6
ts8614,Breakout,SHOW,2010,TV-14,44,"['drama', 'action']",['SG'],1,tt7131684,6.7,7,3.557,2010,6
ts34087,Puella Magi Madoka Magica,SHOW,2011,TV-14,24,"['scifi', 'thriller', 'animation', 'drama', 'fantasy']",['JP'],1,tt1773185,8.3,9055,17.086,2010,8
ts34921,Wolverine,SHOW,2011,TV-14,24,"['action', 'scifi', 'animation']",['JP'],1,tt1847521,6.2,1458,11.084,2010,6
ts21081,Pablo Escobar: The Drug Lord,SHOW,2012,TV-14,44,"['crime', 'drama', 'history', 'thriller']",['CO'],1,tt2187850,8.4,4923,314.603,2010,8
ts60663,The In-Laws,SHOW,2011,TV-14,44,"['family', 'drama']",['SG'],1,tt12199688,0,0,1.492,2010,0
ts41114,The Oath,SHOW,2011,TV-14,44,['drama'],['SG'],1,tt7131686,7.9,9,1.418,2010,6
ts32460,Inborn Pair,SHOW,2011,TV-14,43,"['drama', 'comedy']",['TW'],1,tt6357282,7.1,108,9.281,2010,6
ts32561,Office Girls,SHOW,2011,TV-14,46,"['drama', 'comedy', 'romance']",['TW'],1,tt4381290,6.9,140,4.876,2010,6
ts44064,Drunken to Love You,SHOW,2011,TV-14,46,"['comedy', 'drama', 'romance']",['TW'],1,tt2661520,6.5,114,3.342,2010,6
ts39465,Yours Fatefully,SHOW,2012,TV-14,44,"['drama', 'comedy', 'romance']",['SG'],1,tt7131690,6.8,14,1.4,2010,6
ts20781,Incomplete Life,SHOW,2014,TV-14,73,"['drama', 'comedy']",['KR'],1,tt4240730,8.6,1883,10.121,2010,8
ts122290,Dharmakshetra,SHOW,2014,TV-14,44,['drama'],['IN'],1,tt6803712,8.2,247,0.6,2010,8
ts82860,Against the Tide,SHOW,2014,TV-14,44,['drama'],['SG'],1,tt7131682,7.6,11,0.6,2010,6
ts32752,Two Fathers,SHOW,2013,TV-14,44,"['comedy', 'drama']",['TW'],1,tt6707142,8,54,3.73,2010,8
ts144527,World at Your Feet,SHOW,2014,TV-14,44,['drama'],['SG'],1,tt4544590,0,0,0,2010,0
ts107543,Mystic Whispers,SHOW,2014,TV-14,26,"['comedy', 'romance']",['SG'],1,tt8834748,6.9,17,0,2010,6
ts42169,ERASED,SHOW,2016,TV-14,22,"['drama', 'animation', 'fantasy', 'scifi', 'thriller']",['JP'],1,tt5249462,8.5,42699,21.821,2010,8
ts35577,God Eater,SHOW,2015,TV-14,23,"['scifi', 'animation', 'action']",['JP'],1,tt5240222,7,1911,23.148,2010,6
ts37660,Reply 1988,SHOW,2015,TV-14,95,"['comedy', 'drama', 'family', 'romance']",['KR'],1,tt5182866,9.2,6557,15.317,2010,8
ts37896,Conspiracy,SHOW,2015,TV-14,43,"['documentation', 'history', 'european']",['GB'],1,tt4761054,6.2,367,2.731,2010,6
ts43272,Terrace House: Boys & Girls in the City,SHOW,2015,TV-14,29,"['reality', 'drama']",['JP'],1,tt4790546,8.1,1624,4.264,2010,8
ts41883,The K2,SHOW,2016,TV-14,65,"['war', 'drama', 'romance', 'thriller']",['KR'],1,tt8535796,7.9,5615,74.751,2010,6
ts41253,Love O2O,SHOW,2016,TV-14,45,"['drama', 'romance']",['CN'],1,tt6092878,8,2322,5.592,2010,8
ts53065,One More Time,SHOW,2016,TV-14,31,"['scifi', 'drama', 'fantasy']",['KR'],1,tt6212990,6.9,564,4.321,2010,6
ts54010,My Runway,SHOW,2016,TV-14,25,"['comedy', 'drama', 'fantasy', 'romance']",['KR'],1,tt6968336,6.3,261,10.581,2010,6
ts43341,Atelier,SHOW,2015,TV-14,69,"['drama', 'documentation', 'comedy']",['JP'],1,tt2303188,6.3,7,4.985,2010,6
ts87465,Witch Hunt: A Century of Murder,SHOW,2015,TV-14,46,"['crime', 'history', 'fantasy', 'drama', 'european']",['GB'],1,tt6474054,7.2,319,0.862,2010,6
ts52825,The Princess Weiyoung,SHOW,2016,TV-14,45,"['drama', 'history', 'romance']",['CN'],1,tt6353308,7.9,767,8.08,2010,6
ts107658,Mind Game,SHOW,2015,TV-14,44,"['drama', 'action', 'crime']","['JP', 'US']",1,tt8879588,7.5,12,0,2010,6
ts52950,Miss in Kiss,SHOW,2016,TV-14,36,"['comedy', 'drama']",['TW'],1,tt6954524,7.7,98,4.001,2010,6
ts42432,28 Faces of the Moon,SHOW,2016,TV-14,18,['drama'],['KR'],1,tt10145322,6.4,25,3.956,2010,6
ts86089,Under the Black Moonlight,SHOW,2016,TV-14,10,"['drama', 'thriller', 'horror']",['KR'],1,tt7162436,5,56,2.682,2010,4
ts83450,Close Your Eyes Before It's Dark,SHOW,2016,TV-14,84,"['drama', 'crime']",['TW'],1,tt6506806,7,218,2.87,2010,6
ts53017,Best Lover,SHOW,2016,TV-14,45,"['drama', 'romance']",['CN'],1,tt9874364,6.8,74,3.951,2010,6
ts53543,The Miracle,SHOW,2016,TV-14,18,"['drama', 'comedy', 'fantasy', 'music']",['KR'],1,tt6703344,6.3,210,10.889,2010,6
ts82475,The Dream Job,SHOW,2016,TV-14,44,"['drama', 'family']",['SG'],1,tt7131688,6.1,14,0.967,2010,6
ts87884,Sons of the Caliphate,SHOW,2015,TV-14,39,['drama'],['NG'],1,tt10202268,7.4,32,0.73,2010,6
ts36741,Fartsa,SHOW,2015,TV-14,60,"['crime', 'drama']",['RU'],1,tt4567218,6.7,195,2.355,2010,6
ts35963,Singles Villa,SHOW,2015,TV-14,45,"['drama', 'romance']",['CN'],1,tt5053036,7.7,28,0.992,2010,6
ts249161,Tariqi: My Way,SHOW,2015,TV-14,42,"['drama', 'music']",['EG'],1,tt5528490,7.2,143,0,2010,6
ts248736,The Governor,SHOW,2016,TV-14,45,['drama'],['NG'],1,tt7128052,7.4,100,0,2010,6
ts53513,Back to 1989,SHOW,2016,TV-14,44,"['scifi', 'drama']",['TW'],1,tt6273088,8,106,4.257,2010,8
ts83449,Love Storm,SHOW,2016,TV-14,87,['family'],['TW'],1,tt6093070,5.5,325,4.504,2010,4
ts76869,Violet Evergarden,SHOW,2018,TV-14,25,"['drama', 'animation', 'scifi', 'fantasy', 'romance']",['JP'],1,tt7078180,8.4,19940,56.177,2010,8
ts79926,James Acaster: Repertoire,SHOW,2018,TV-14,52,['comedy'],['GB'],1,tt7818686,8.4,3545,4.73,2010,8
ts84280,Rascal Does Not Dream of Bunny Girl Senpai,SHOW,2018,TV-14,25,"['animation', 'comedy', 'thriller', 'fantasy', 'romance', 'drama']",['JP'],1,tt8993398,8.1,10400,60.496,2010,8
ts78298,My Mister,SHOW,2018,TV-14,79,"['drama', 'family']",['KR'],1,tt7923710,9.2,5481,14.997,2010,8
ts53936,Innocent,SHOW,2017,TV-14,51,"['drama', 'crime']",['TR'],1,tt6478854,8.4,17727,10.828,2010,8
ts77783,Record of Grancrest War,SHOW,2018,TV-14,24,"['scifi', 'action', 'fantasy', 'war', 'animation']",['JP'],1,tt7897050,7.1,893,19.328,2010,6
ts79020,Hitler's Circle of Evil,SHOW,2018,TV-14,52,"['documentation', 'war', 'history']",['GB'],1,tt6600720,8,4241,3.807,2010,8
ts75749,Because This Is My First Life,SHOW,2017,TV-14,56,"['comedy', 'drama', 'romance']",['KR'],1,tt7278588,8.2,4168,11.127,2010,8
ts76313,Sisters,SHOW,2017,TV-14,36,"['drama', 'comedy']",['AU'],1,tt8453436,7.5,1729,2.17,2010,6
ts76486,Just Between Lovers,SHOW,2017,TV-14,73,"['drama', 'romance']",['KR'],1,tt7521898,8.2,1872,9.343,2010,8
ts80411,Lawless Lawyer,SHOW,2018,TV-14,64,"['action', 'crime', 'drama', 'thriller']",['KR'],1,tt8160178,7.7,1572,10.08,2010,6
ts81414,Meteor Garden,SHOW,2018,TV-14,45,"['comedy', 'family', 'drama', 'romance']",['CN'],1,tt8690890,7.9,3921,50.167,2010,6
ts83790,The Beauty Inside,SHOW,2018,TV-14,68,"['drama', 'fantasy', 'romance']",['KR'],1,tt8801708,7.6,1889,62.12,2010,6
ts57811,Fate/Apocrypha,SHOW,2017,TV-14,24,"['action', 'scifi', 'animation', 'drama', 'fantasy']",['JP'],1,tt6424454,6.6,2259,52.16,2010,6
ts76603,ERASED,SHOW,2017,TV-14,28,"['drama', 'scifi', 'thriller', 'fantasy']",['JP'],1,tt7573686,7.8,3596,10.639,2010,6
ts55581,The Bride of Habaek,SHOW,2017,TV-14,67,"['drama', 'romance', 'comedy', 'fantasy']",['KR'],1,tt6385752,7.1,2501,15.138,2010,6
ts85822,Selection Day,SHOW,2018,TV-14,25,"['drama', 'comedy', 'sport']",['IN'],1,tt10656928,7.4,2176,6.394,2010,6
ts70631,Children of the Whales,SHOW,2017,TV-14,24,"['scifi', 'animation', 'drama', 'fantasy']",['JP'],1,tt7484994,7.1,1524,16.105,2010,6
ts55232,Cyborg 009: Call of Justice,SHOW,2017,TV-14,24,"['action', 'scifi', 'animation']",['JP'],1,tt6921524,5.7,217,5.13,2010,4
ts75981,The Royal House of Windsor,SHOW,2017,TV-14,49,"['documentation', 'history', 'european']",['GB'],1,tt6596634,7.3,1541,5.408,2010,6
